Tanggal,Komoditas,Harga,Sumber
2021-02-10,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-10,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-10,telur_ayam_ras,22500.0,PIHPS
2021-02-11,bawang_merah,30000.0,PIHPS
2021-02-11,bawang_putih_honan,25000.0,PIHPS
2021-02-11,beras_medium,10000.0,PIHPS
2021-02-11,beras_premium,12000.0,PIHPS
2021-02-11,cabai_merah_besar,45000.0,PIHPS
2021-02-11,cabai_merah_keriting,60000.0,PIHPS
2021-02-11,cabai_rawit_merah,60000.0,PIHPS
2021-02-11,daging_ayam_ras,40000.0,PIHPS
2021-02-11,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-11,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-11,gula_pasir_curah,13500.0,PIHPS
2021-02-11,gula_pasir_kemasan,15500.0,PIHPS
2021-02-11,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-11,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-11,telur_ayam_ras,22500.0,PIHPS
2021-02-15,bawang_merah,30000.0,PIHPS
2021-02-15,bawang_putih_honan,25000.0,PIHPS
2021-02-15,beras_medium,10000.0,PIHPS
2021-02-15,beras_premium,12000.0,PIHPS
2021-02-15,cabai_merah_besar,45000.0,PIHPS
2021-02-15,cabai_merah_keriting,52500.0,PIHPS
2021-02-15,cabai_rawit_merah,57500.0,PIHPS
2021-02-15,daging_ayam_ras,40000.0,PIHPS
2021-02-15,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-15,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-15,gula_pasir_curah,13500.0,PIHPS
2021-02-15,gula_pasir_kemasan,15500.0,PIHPS
2021-02-15,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-15,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-15,telur_ayam_ras,24500.0,PIHPS
2021-02-16,bawang_merah,30000.0,PIHPS
2021-02-16,bawang_putih_honan,25000.0,PIHPS
2021-02-16,beras_medium,10000.0,PIHPS
2021-02-16,beras_premium,12000.0,PIHPS
2021-02-16,cabai_merah_besar,45000.0,PIHPS
2021-02-16,cabai_merah_keriting,52500.0,PIHPS
2021-02-16,cabai_rawit_merah,57500.0,PIHPS
2021-02-16,daging_ayam_ras,40000.0,PIHPS
2021-02-16,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-16,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-16,gula_pasir_curah,13500.0,PIHPS
2021-02-16,gula_pasir_kemasan,15500.0,PIHPS
2021-02-16,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-16,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-16,telur_ayam_ras,24500.0,PIHPS
2021-02-17,bawang_merah,30000.0,PIHPS
2021-02-17,bawang_putih_honan,25000.0,PIHPS
2021-02-17,beras_medium,10000.0,PIHPS
2021-02-17,beras_premium,12000.0,PIHPS
2021-02-17,cabai_merah_besar,45000.0,PIHPS
2021-02-17,cabai_merah_keriting,55000.0,PIHPS
2021-02-17,cabai_rawit_merah,77500.0,PIHPS
2021-02-17,daging_ayam_ras,40000.0,PIHPS
2021-02-17,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-17,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-17,gula_pasir_curah,13500.0,PIHPS
2021-02-17,gula_pasir_kemasan,15500.0,PIHPS
2021-02-17,minyak_goreng_sawit_curah,13500.0,PIHPS
